market,rank,code,name,trade_date,open,high,low,close,volume,foreign_ownership_ratio
KOSPI,1,005930,삼성전자,2026-04-30,229000,230000,220500,220500,20519819,49.27
KOSPI,2,000660,SK하이닉스,2026-04-30,1312000,1325000,1286000,1286000,3227541,52.92
KOSPI,3,005935,삼성전자우,2026-04-30,165000,167300,158300,158300,4466311,78.01
KOSPI,4,402340,SK스퀘어,2026-04-30,845000,877000,840000,841000,569005,49.9
KOSPI,5,005380,현대차,2026-04-30,556000,560000,531000,531000,1150241,27.52
KOSPI,6,373220,LG에너지솔루션,2026-04-30,471000,471500,457000,460500,483228,5.11
KOSPI,7,034020,두산에너빌리티,2026-04-30,129800,129900,126000,127100,3380571,25.53
KOSPI,8,012450,한화에어로스페이스,2026-04-30,1416000,1458000,1379000,1417000,236243,45.34
KOSPI,9,329180,HD현대중공업,2026-04-30,0,685000,685000,685000,27,13.84
KOSPI,10,207940,삼성바이오로직스,2026-04-30,1474000,1484000,1470000,1470000,44392,12.32
KOSPI,11,009150,삼성전기,2026-04-30,829000,877000,818000,832000,905254,39.13
KOSPI,12,105560,KB금융,2026-04-30,162200,163900,159400,160500,1396269,75.72
KOSPI,13,000270,기아,2026-04-30,155400,157400,151700,151800,1185702,38.37
KOSPI,14,006400,삼성SDI,2026-04-30,721000,723000,692000,695000,851227,25.83
KOSPI,15,032830,삼성생명,2026-04-30,249500,252500,246500,249500,247037,23.43
KOSPI,16,028260,삼성물산,2026-04-30,305500,307500,296000,298500,451057,30.96
KOSPI,17,055550,신한지주,2026-04-30,99000,101000,99000,99900,1518212,61.37
KOSPI,18,267260,HD현대일렉트릭,2026-04-30,1254000,1281000,1251000,1252000,152813,36.61
KOSPI,19,068270,셀트리온,2026-04-30,203500,204000,200000,200500,468819,24.25
KOSPI,20,010120,LS ELECTRIC,2026-04-30,278000,283500,274500,278000,1162813,20.16
KOSPI,21,042660,한화오션,2026-04-30,132400,132900,130500,131800,1166948,11.07
KOSPI,22,012330,현대모비스,2026-04-30,438500,443000,425000,425000,317288,43.24
KOSPI,23,005490,POSCO홀딩스,2026-04-30,471500,471500,455500,462000,568870,30.94
KOSPI,24,298040,효성중공업,2026-04-30,3990000,4018000,3894000,3912000,54058,27.99
KOSPI,25,006800,미래에셋증권,2026-04-30,67800,68600,64700,64800,2433634,9.2
KOSPI,26,086790,하나금융지주,2026-04-30,124500,128500,124500,127900,949529,68.2
KOSPI,27,042700,한미반도체,2026-04-30,367000,392500,361500,368000,2575384,7.33
KOSPI,28,035420,NAVER,2026-04-30,0,211000,211000,211000,307,37.46
KOSPI,29,010130,고려아연,2026-04-30,1587000,1605000,1537000,1579000,123969,28.5
KOSPI,30,009540,HD한국조선해양,2026-04-30,467000,477000,461500,461500,161199,33.8
KOSPI,31,034730,SK,2026-04-30,428500,438500,420500,425000,230762,29.3
KOSPI,32,064350,현대로템,2026-04-30,261500,282000,261000,268500,1479575,35.49
KOSPI,33,010140,삼성중공업,2026-04-30,33350,33400,32200,32350,4422860,32.47
KOSPI,34,051910,LG화학,2026-04-30,407500,407500,392000,397000,283039,36.65
KOSPI,35,015760,한국전력,2026-04-30,43950,44500,43550,43550,2510970,21.64
KOSPI,36,000150,두산,2026-04-30,1602000,1682000,1537000,1596000,108590,18.56
KOSPI,37,096770,SK이노베이션,2026-04-30,146500,148000,143500,146200,1134227,14.66
KOSPI,38,267250,HD현대,2026-04-30,304500,326000,303000,310500,302406,26.43
KOSPI,39,316140,우리금융지주,2026-04-30,33200,33750,33200,33350,2335356,45.97
KOSPI,40,066570,LG전자,2026-04-30,140300,151700,138800,140900,4599708,33.97
KOSPI,41,003670,포스코퓨처엠,2026-04-30,260000,260500,248000,252000,425977,9.3
KOSPI,42,272210,한화시스템,2026-04-30,118200,119100,115700,117300,765071,8.58
KOSPI,43,035720,카카오,2026-04-30,48500,48550,47050,47300,1480837,29.16
KOSPI,44,079550,LIG디펜스앤에어로스페이스,2026-04-30,957000,965000,929000,941000,244235,23.62
KOSPI,45,000810,삼성화재,2026-04-30,460000,466000,457500,461000,145614,57.02
KOSPI,46,033780,KT&G,2026-04-30,175400,179700,175400,178300,201945,45.32
KOSPI,47,017670,SK텔레콤,2026-04-30,96700,96900,94700,95100,1143836,38.9
KOSPI,48,011200,HMM,2026-04-30,20650,20750,20300,20500,1013500,7.56
KOSPI,49,138040,메리츠금융지주,2026-04-30,113000,114400,111700,111700,242878,14.36
KOSPI,50,024110,기업은행,2026-04-30,22400,22800,22400,22600,1296670,12.91
KOSPI,51,000720,현대건설,2026-04-30,167600,168800,160900,161800,1235854,23.52
KOSPI,52,086280,현대글로비스,2026-04-30,239000,241500,227000,227000,238287,46.92
KOSPI,53,047810,한국항공우주,2026-04-30,166700,171600,163400,169000,947951,27.52
KOSPI,54,278470,에이피알,2026-04-30,449000,452500,422000,424500,365671,37.21
KOSPI,55,047050,포스코인터내셔널,2026-04-30,84800,88000,83100,87300,1420585,7.8
KOSPI,56,030200,KT,2026-04-30,60100,61000,60100,60900,268244,49.0
KOSPI,57,003550,LG,2026-04-30,98200,102700,98200,99100,363782,36.44
KOSPI,58,010950,S-Oil,2026-04-30,133700,137500,132100,134500,753766,77.71
KOSPI,59,047040,대우건설,2026-04-30,36450,36450,34800,35000,11628803,11.62
KOSPI,60,006260,LS,2026-04-30,422000,473000,421500,453000,354410,18.66
KOSPI,61,011070,LG이노텍,2026-04-30,589000,600000,568000,573000,285504,29.07
KOSPI,62,071050,한국금융지주,2026-04-30,250500,253000,239500,240000,310069,34.51
KOSPI,63,018260,삼성에스디에스,2026-04-30,170700,170800,166000,166200,259977,20.69
KOSPI,64,259960,크래프톤,2026-04-30,278000,290000,259000,265000,365379,41.01
KOSPI,65,307950,현대오토에버,2026-04-30,484000,484000,450000,450500,119826,2.15
KOSPI,66,005940,NH투자증권,2026-04-30,34600,34800,33500,33650,621876,12.47
KOSPI,67,443060,HD현대마린솔루션,2026-04-30,266000,269500,259000,265500,241143,28.87
KOSPI,68,323410,카카오뱅크,2026-04-30,24450,24700,24200,24350,767789,16.4
KOSPI,69,352820,하이브,2026-04-30,271000,278000,260000,263000,669048,18.87
KOSPI,70,007660,이수페타시스,2026-04-30,151700,156200,147600,150300,1464079,26.68
KOSPI,71,005830,DB손해보험,2026-04-30,170700,171500,166500,167600,144958,46.4
KOSPI,72,001440,대한전선,2026-04-30,51700,59400,49600,56300,33754956,13.44
KOSPI,73,039490,키움증권,2026-04-30,426000,431000,396000,398000,339619,27.88
KOSPI,74,028050,삼성E&A,2026-04-30,53700,54100,52700,53100,1765560,41.13
KOSPI,75,003230,삼양식품,2026-04-30,1310000,1374000,1300000,1341000,64873,15.28
KOSPI,76,016360,삼성증권,2026-04-30,109500,110500,107200,107500,330869,27.65
KOSPI,77,000880,한화,2026-04-30,132300,138800,131600,133400,409462,20.8
KOSPI,78,003490,대한항공,2026-04-30,24800,24950,24350,24550,1719119,19.7
KOSPI,79,267270,HD건설기계,2026-04-30,197900,201000,182000,183900,526316,19.59
KOSPI,80,009830,한화솔루션,2026-04-30,48950,55400,48950,50700,11898592,13.58
KOSPI,81,005387,현대차2우B,2026-04-30,258500,259500,248000,248000,191958,54.3
KOSPI,82,062040,산일전기,2026-04-30,222500,281500,218500,266000,2540710,16.96
KOSPI,83,090430,아모레퍼시픽,2026-04-30,140700,141400,134300,135300,435705,25.69
KOSPI,84,066970,엘앤에프,2026-04-30,208000,210500,192100,195100,730075,19.77
KOSPI,85,326030,SK바이오팜,2026-04-30,101600,102000,99900,99900,169558,13.12
KOSPI,86,078930,GS,2026-04-30,81300,84000,81000,81900,369316,19.32
KOSPI,87,377300,카카오페이,2026-04-30,0,55700,55700,55700,5,28.02
KOSPI,88,180640,한진칼,2026-04-30,112200,112900,110100,112700,102470,19.87
KOSPI,89,082740,한화엔진,2026-04-30,85900,90200,85500,88000,1087059,22.35
KOSPI,90,161390,한국타이어앤테크놀로지,2026-04-30,60600,61000,59000,59200,522791,38.21
KOSPI,91,000100,유한양행,2026-04-30,93200,93400,91600,91600,237957,18.78
KOSPI,92,052690,한전기술,2026-04-30,0,188600,188600,188600,53,15.7
KOSPI,93,454910,두산로보틱스,2026-04-30,120000,120700,106400,110200,1839947,3.37
KOSPI,94,241560,두산밥캣,2026-04-30,74000,75000,71500,72000,441090,37.75
KOSPI,95,000990,DB하이텍,2026-04-30,156600,163900,152500,158500,580177,25.65
KOSPI,96,010060,OCI홀딩스,2026-04-30,368000,388000,355000,368000,382382,18.23
KOSPI,97,032640,LG유플러스,2026-04-30,16000,16140,15820,15840,984607,41.83
KOSPI,98,001040,CJ,2026-04-30,225500,228000,221000,224500,70345,16.13
KOSPI,99,064400,LG씨엔에스,2026-04-30,67100,67500,64600,65000,567472,5.61
KOSPI,100,029780,삼성카드,2026-04-30,52600,53400,52600,53300,140081,5.68
KOSDAQ,1,086520,에코프로,2026-04-30,0,152900,152900,152900,135,19.22
KOSDAQ,2,247540,에코프로비엠,2026-04-30,214000,214000,206000,206000,496622,13.87
KOSDAQ,3,196170,알테오젠,2026-04-30,379500,379500,366000,368500,263102,14.45
KOSDAQ,4,277810,레인보우로보틱스,2026-04-30,0,664000,664000,664000,6,7.2
KOSDAQ,5,000250,삼천당제약,2026-04-30,443000,443500,412000,415500,161654,6.06
KOSDAQ,6,058470,리노공업,2026-04-30,113800,124000,113800,119300,2627349,22.23
KOSDAQ,7,950160,코오롱티슈진,2026-04-30,0,102000,102000,102000,407,5.19
KOSDAQ,8,028300,HLB,2026-04-30,62200,62900,60800,60800,418522,20.37
KOSDAQ,9,298380,에이비엘바이오,2026-04-30,140000,140600,134100,134800,663414,10.9
KOSDAQ,10,141080,리가켐바이오,2026-04-30,193700,194000,183200,183400,292336,11.24
KOSDAQ,11,087010,펩트론,2026-04-30,267500,275500,260000,260500,115725,6.11
KOSDAQ,12,036930,주성엔지니어링,2026-04-30,0,126000,126000,126000,1848,12.79
KOSDAQ,13,039030,이오테크닉스,2026-04-30,502000,509000,468000,468000,106701,21.73
KOSDAQ,14,240810,원익IPS,2026-04-30,0,117100,117100,117100,1015,17.26
KOSDAQ,15,214370,케어젠,2026-04-30,103900,110000,101000,105500,149583,3.75
KOSDAQ,16,310210,보로노이,2026-04-30,292500,304500,284000,284000,110939,5.36
KOSDAQ,17,095340,ISC,2026-04-30,243000,249000,240500,242500,197894,20.12
KOSDAQ,18,108490,로보티즈,2026-04-30,0,316500,316500,316500,63,8.75
KOSDAQ,19,403870,HPSP,2026-04-30,54100,54800,51700,52600,1661297,30.94
KOSDAQ,20,440110,파두,2026-04-30,85000,89300,77100,78200,2049000,12.83
KOSDAQ,21,263750,펄어비스,2026-04-30,60400,61900,58700,58900,776820,6.72
KOSDAQ,22,032820,우리기술,2026-04-30,0,21600,21600,21600,26409,4.67
KOSDAQ,23,214150,클래시스,2026-04-30,57400,57700,55000,55600,182217,71.03
KOSDAQ,24,357780,솔브레인,2026-04-30,475000,478500,456500,458000,32300,22.3
KOSDAQ,25,178320,서진시스템,2026-04-30,56800,61000,55400,59500,3633119,12.07
KOSDAQ,26,226950,올릭스,2026-04-30,182500,182500,171100,172500,288160,8.93
KOSDAQ,27,319400,현대무벡스,2026-04-30,32800,32850,30800,31350,1989859,1.56
KOSDAQ,28,064760,티씨케이,2026-04-30,318000,318000,293000,294000,63537,64.02
KOSDAQ,29,214450,파마리서치,2026-04-30,323500,325000,313000,313500,85872,7.4
KOSDAQ,30,347850,디앤디파마텍,2026-04-30,77800,78200,73600,74200,378678,5.84
KOSDAQ,31,222800,심텍,2026-04-30,88500,92900,86000,87000,552297,14.94
KOSDAQ,32,237690,에스티팜,2026-04-30,161700,162100,150900,152500,230448,11.9
KOSDAQ,33,145020,휴젤,2026-04-30,261500,264500,252500,252500,53478,57.32
KOSDAQ,34,083650,비에이치아이,2026-04-30,0,97500,97500,97500,29,19.31
KOSDAQ,35,084370,유진테크,2026-04-30,138400,140000,127000,130000,415743,35.16
KOSDAQ,36,005290,동진쎄미켐,2026-04-30,0,56600,56600,56600,115,13.54
KOSDAQ,37,043260,성호전자,2026-04-30,43800,44350,40800,40900,1115094,1.78
KOSDAQ,38,058610,에스피지,2026-04-30,0,127600,127600,127600,135,6.08
KOSDAQ,39,100790,미래에셋벤처투자,2026-04-30,0,52400,52400,52400,4284,2.05
KOSDAQ,40,098460,고영,2026-04-30,0,40250,40250,40250,6594,22.67
KOSDAQ,41,257720,실리콘투,2026-04-30,44850,45050,43350,44000,499934,7.68
KOSDAQ,42,031980,피에스케이홀딩스,2026-04-30,130500,131700,123700,124300,137941,5.7
KOSDAQ,43,140410,메지온,2026-04-30,96000,99900,81500,87700,587730,25.5
KOSDAQ,44,067310,하나마이크론,2026-04-30,0,39700,39700,39700,1525,18.63
KOSDAQ,45,082920,비츠로셀,2026-04-30,55200,58200,53500,57000,591157,29.91
KOSDAQ,46,319660,피에스케이,2026-04-30,93200,93200,88300,88700,277039,25.01
KOSDAQ,47,030530,원익홀딩스,2026-04-30,0,32800,32800,32800,1920,5.96
KOSDAQ,48,131970,두산테스나,2026-04-30,0,130700,130700,130700,232,8.36
KOSDAQ,49,218410,RFHIC,2026-04-30,93400,95700,92200,94300,423540,22.1
KOSDAQ,50,068760,셀트리온제약,2026-04-30,57600,57800,56100,56100,97332,5.03
KOSDAQ,51,078600,대주전자재료,2026-04-30,167900,168000,158200,158500,251487,11.96
KOSDAQ,52,476830,알지노믹스,2026-04-30,179700,182400,174700,175900,217273,3.85
KOSDAQ,53,323280,태성,2026-04-30,0,79500,79500,79500,84,5.7
KOSDAQ,54,010170,대한광통신,2026-04-30,0,15150,15150,15150,23300,3.77
KOSDAQ,55,035900,JYP Ent.,2026-04-30,65700,66000,62800,62900,208472,16.54
KOSDAQ,56,041510,에스엠,2026-04-30,100100,102600,96400,96600,146749,30.59
KOSDAQ,57,101490,에스앤에스텍,2026-04-30,100900,105600,99600,100700,192436,10.82
KOSDAQ,58,089030,테크윙,2026-04-30,59800,60600,57100,57300,996121,10.31
KOSDAQ,59,347700,스피어,2026-04-30,40750,43150,39550,42200,1447648,4.35
KOSDAQ,60,417200,LS머트리얼즈,2026-04-30,31600,31600,29750,30050,4251689,5.01
KOSDAQ,61,140860,파크시스템스,2026-04-30,287500,298500,285000,289000,30590,32.56
KOSDAQ,62,060370,LS마린솔루션,2026-04-30,37850,39350,36700,38150,643335,3.32
KOSDAQ,63,039200,오스코텍,2026-04-30,53000,53500,51600,52000,215930,13.94
KOSDAQ,64,475830,오름테라퓨틱,2026-04-30,89600,92200,87400,88200,152494,7.23
KOSDAQ,65,131290,티에스이,2026-04-30,168800,172000,167000,168800,80011,11.65
KOSDAQ,66,038500,삼표시멘트,2026-04-30,0,16930,16930,16930,7210,1.42
KOSDAQ,67,099320,쎄트렉아이,2026-04-30,175300,175600,163200,166000,223579,11.43
KOSDAQ,68,027360,아주IB투자,2026-04-30,0,15000,15000,15000,17006,0.32
KOSDAQ,69,458870,씨어스,2026-04-30,49400,49450,47050,47650,206742,4.45
KOSDAQ,70,080220,제주반도체,2026-04-30,0,52400,52400,52400,11767,5.97
KOSDAQ,71,232140,와이씨,2026-04-30,0,21850,21850,21850,2737,5.95
KOSDAQ,72,491000,리브스메드,2026-04-30,0,71200,71200,71200,126,4.2
KOSDAQ,73,445680,큐리옥스바이오시스템즈,2026-04-30,99900,108400,97600,102100,113817,7.13
KOSDAQ,74,437730,삼현,2026-04-30,57700,57800,53100,53500,273694,1.58
KOSDAQ,75,095610,테스,2026-04-30,0,84000,84000,84000,163,12.44
KOSDAQ,76,065350,신성델타테크,2026-04-30,58800,59200,57500,58000,108690,2.92
KOSDAQ,77,085660,차바이오텍,2026-04-30,17450,17660,17050,17090,296711,7.52
KOSDAQ,78,290650,엘앤씨바이오,2026-04-30,69300,69300,62400,63200,536105,17.37
KOSDAQ,79,281740,레이크머티리얼즈,2026-04-30,0,23000,23000,23000,4236,7.84
KOSDAQ,80,090710,휴림로봇,2026-04-30,13510,13920,12420,12620,9997438,6.61
KOSDAQ,81,036830,솔브레인홀딩스,2026-04-30,78200,80200,73000,73000,129803,5.72
KOSDAQ,82,166090,하나머티리얼즈,2026-04-30,0,75500,75500,75500,123,19.57
KOSDAQ,83,195940,HK이노엔,2026-04-30,54400,54600,52300,52400,130750,13.76
KOSDAQ,84,183300,코미코,2026-04-30,144100,147400,141000,141600,88848,18.88
KOSDAQ,85,003380,하림지주,2026-04-30,13490,13550,13070,13120,668653,8.26
KOSDAQ,86,490470,세미파이브,2026-04-30,39900,43750,38600,42450,3270804,2.64
KOSDAQ,87,052020,에스티큐브,2026-04-30,0,21100,21100,21100,299,4.91
KOSDAQ,88,189300,인텔리안테크,2026-04-30,135900,137100,130600,132700,146429,20.71
KOSDAQ,89,456160,지투지바이오,2026-04-30,84400,89300,83500,85600,739237,4.61
KOSDAQ,90,127120,제이에스링크,2026-04-30,41350,41350,40050,40800,131763,2.14
KOSDAQ,91,115180,큐리언트,2026-04-30,39350,39350,37050,37300,190469,5.82
KOSDAQ,92,397030,에이프릴바이오,2026-04-30,63000,63000,59300,59300,217455,7.79
KOSDAQ,93,036540,SFA반도체,2026-04-30,8750,8800,8280,8300,5097915,6.44
KOSDAQ,94,160190,하이젠알앤엠,2026-04-30,46500,46500,43300,43600,129427,1.65
KOSDAQ,95,388210,씨엠티엑스,2026-04-30,144200,144700,139700,140700,95880,6.33
KOSDAQ,96,222080,씨아이에스,2026-04-30,0,17170,17170,17170,11144,7.03
KOSDAQ,97,137400,피엔티,2026-04-30,57700,57900,55700,56000,192375,7.86
KOSDAQ,98,420770,기가비스,2026-04-30,107700,110000,102800,103900,97472,1.94
KOSDAQ,99,089970,브이엠,2026-04-30,56100,56200,52800,53400,363540,15.2
KOSDAQ,100,048410,현대바이오,2026-04-30,0,13400,13400,13400,12151,5.58
